id,name,description,equation,category,icon,variables_json,num_variables
"drag-force","Drag Force","Fd=½ρv²CdA. Solves for drag force, fluid density, velocity, drag coefficient, or area.","F_d = ½ρv²C_dA","Advanced Mechanics","Cog","[{""id"":""Fd"",""label"":""Drag Force"",""unit"":""N""},{""id"":""rho"",""label"":""Fluid Density"",""unit"":""kg/m³""},{""id"":""v"",""label"":""Velocity"",""unit"":""m/s""},{""id"":""Cd"",""label"":""Drag Coefficient"",""unit"":""""},{""id"":""A"",""label"":""Cross-section Area"",""unit"":""m²""}]",5
"magnetic-force-charge","Magnetic Force on Charge","F=qvBsinθ. Solves for force, charge, velocity, field, or angle. Computes cyclotron radius.","F = qvB sin(θ)","Electromagnetic Theory","Zap","[{""id"":""F"",""label"":""Force"",""unit"":""N""},{""id"":""q"",""label"":""Charge"",""unit"":""C""},{""id"":""v"",""label"":""Velocity"",""unit"":""m/s""},{""id"":""B"",""label"":""Magnetic Field"",""unit"":""T""},{""id"":""theta"",""label"":""Angle (v to B)"",""unit"":""°""}]",5
"amperes-law","Ampere's Law (Solenoid)","B=μ₀nI. Solves for magnetic field, turn density, or current inside a solenoid.","B = μ₀nI","Electromagnetic Theory","Zap","[{""id"":""B"",""label"":""Magnetic Field"",""unit"":""T""},{""id"":""n"",""label"":""Turns per meter (n)"",""unit"":""1/m""},{""id"":""I"",""label"":""Current"",""unit"":""A""}]",3
"faraday-law","Faraday's Law of Induction","EMF=NBAωsin(ωt). Solves for EMF, turns, field, area, angular velocity, or time.","EMF = NBAω sin(ωt)","Electromagnetic Theory","Zap","[{""id"":""emf"",""label"":""Induced EMF"",""unit"":""V""},{""id"":""N"",""label"":""Number of Turns"",""unit"":""""},{""id"":""B"",""label"":""Magnetic Field"",""unit"":""T""},{""id"":""A"",""label"":""Loop Area"",""unit"":""m²""},{""id"":""omega"",""label"":""Angular Velocity"",""unit"":""rad/s""},{""id"":""t"",""label"":""Time"",""unit"":""s""}]",6
"hall-effect","Hall Effect","VH=IB/(nqd). Solves for Hall voltage, current, field, carrier density, or thickness.","V_H = IB / (nqd)","Electromagnetic Theory","Zap","[{""id"":""VH"",""label"":""Hall Voltage"",""unit"":""V""},{""id"":""I"",""label"":""Current"",""unit"":""A""},{""id"":""B"",""label"":""Magnetic Field"",""unit"":""T""},{""id"":""n"",""label"":""Carrier Density (n)"",""unit"":""1/m³""},{""id"":""d"",""label"":""Conductor Thickness"",""unit"":""m""}]",5
"lc-resonance","LC Resonance","f=1/(2π√(LC)). Solves for resonant frequency, inductance, or capacitance.","f = 1 / (2π√(LC))","Electromagnetic Theory","Zap","[{""id"":""f"",""label"":""Resonant Frequency"",""unit"":""Hz""},{""id"":""L"",""label"":""Inductance"",""unit"":""H""},{""id"":""C"",""label"":""Capacitance"",""unit"":""F""}]",3
"magnetic-force-wire","Magnetic Force on Wire","F=BILsinθ. Solves for force, field, current, length, or angle between wire and field.","F = BIL sin(θ)","Electromagnetic Theory","Zap","[{""id"":""F"",""label"":""Force"",""unit"":""N""},{""id"":""B"",""label"":""Magnetic Field"",""unit"":""T""},{""id"":""I"",""label"":""Current"",""unit"":""A""},{""id"":""L"",""label"":""Wire Length"",""unit"":""m""},{""id"":""theta"",""label"":""Angle (wire to B)"",""unit"":""°""}]",5
"wheatstone-bridge","Wheatstone Bridge","Solves balanced/unbalanced Wheatstone bridge. Finds output voltage or unknown resistance.","V_out = V_s(R₂/(R₁+R₂) − R₄/(R₃+R₄))","Electromagnetic Theory","Zap","[{""id"":""Vs"",""label"":""Source Voltage"",""unit"":""V""},{""id"":""R1"",""label"":""R₁"",""unit"":""Ω""},{""id"":""R2"",""label"":""R₂"",""unit"":""Ω""},{""id"":""R3"",""label"":""R₃"",""unit"":""Ω""},{""id"":""R4"",""label"":""R₄"",""unit"":""Ω""}]",5
"kirchhoff-junction","Kirchhoff's Junction Rule","ΣI = 0 at a junction. Given any 2 of 3 currents, finds the third.","I₁ + I₂ + I₃ = 0","Electromagnetic Theory","Zap","[{""id"":""I1"",""label"":""Current 1 (in=+, out=−)"",""unit"":""A""},{""id"":""I2"",""label"":""Current 2 (in=+, out=−)"",""unit"":""A""},{""id"":""I3"",""label"":""Current 3 (in=+, out=−)"",""unit"":""A""}]",3
"inductor-energy","Inductor Energy Storage","E=½LI². Solves for stored energy, inductance, or current.","E = ½LI²","Electromagnetic Theory","Zap","[{""id"":""E"",""label"":""Stored Energy"",""unit"":""J""},{""id"":""L"",""label"":""Inductance"",""unit"":""H""},{""id"":""I"",""label"":""Current"",""unit"":""A""}]",3
"magnetic-flux","Magnetic Flux","Φ=B·A·cosθ. Solves for flux, field, area, or angle. Detects max/min flux conditions.","Φ = BA cos(θ)","Electromagnetic Theory","Zap","[{""id"":""phi"",""label"":""Magnetic Flux"",""unit"":""Wb""},{""id"":""B"",""label"":""Magnetic Field"",""unit"":""T""},{""id"":""A"",""label"":""Area"",""unit"":""m²""},{""id"":""theta"",""label"":""Angle (B to normal)"",""unit"":""°""}]",4
"escape-velocity","Escape Velocity","ve=√(2GM/r). Solves for escape velocity, mass, or radius.","v_e = √(2GM/r)","Orbital & Space Physics","Atom","[{""id"":""ve"",""label"":""Escape Velocity"",""unit"":""m/s""},{""id"":""M"",""label"":""Planet Mass"",""unit"":""kg""},{""id"":""r"",""label"":""Radius (from center)"",""unit"":""m""}]",3
"orbital-period","Orbital Period","T=2π√(r³/(GM)). Solves for period, orbital radius, or central mass.","T = 2π√(r³/(GM))","Orbital & Space Physics","Atom","[{""id"":""T"",""label"":""Orbital Period"",""unit"":""s""},{""id"":""r"",""label"":""Orbital Radius"",""unit"":""m""},{""id"":""M"",""label"":""Central Mass"",""unit"":""kg""}]",3
"schwarzschild-radius","Schwarzschild Radius","rs=2GM/c². Solves for black hole radius or mass.","r_s = 2GM/c²","Orbital & Space Physics","Atom","[{""id"":""rs"",""label"":""Schwarzschild Radius"",""unit"":""m""},{""id"":""M"",""label"":""Black Hole Mass"",""unit"":""kg""}]",2
"hubble-law","Hubble's Law","v=H₀d. Solves for recession velocity, Hubble constant, or distance.","v = H₀ × d","Orbital & Space Physics","Atom","[{""id"":""v"",""label"":""Recession Velocity"",""unit"":""km/s""},{""id"":""H0"",""label"":""Hubble Constant (H₀)"",""unit"":""km/(s·Mpc)""},{""id"":""d"",""label"":""Distance"",""unit"":""Mpc""}]",3
"kepler-third","Kepler's Third Law","T²=(4π²/GM)a³. Solves for period, semi-major axis, or central mass.","T² = (4π²/GM) × a³","Orbital & Space Physics","Atom","[{""id"":""T"",""label"":""Period"",""unit"":""s""},{""id"":""a"",""label"":""Semi-major Axis"",""unit"":""m""},{""id"":""M"",""label"":""Central Mass"",""unit"":""kg""}]",3
"orbital-velocity","Orbital Velocity","v=√(GM/r). Solves for orbital speed, mass, or radius.","v = √(GM/r)","Orbital & Space Physics","Atom","[{""id"":""v"",""label"":""Orbital Velocity"",""unit"":""m/s""},{""id"":""M"",""label"":""Central Mass"",""unit"":""kg""},{""id"":""r"",""label"":""Orbital Radius"",""unit"":""m""}]",3
"gravitational-pe","Gravitational Potential Energy","U=-GMm/r. Solves for PE, either mass, or distance. Computes binding energy.","U = -GMm/r","Orbital & Space Physics","Atom","[{""id"":""U"",""label"":""Gravitational PE"",""unit"":""J""},{""id"":""M"",""label"":""Mass 1 (larger)"",""unit"":""kg""},{""id"":""m"",""label"":""Mass 2 (smaller)"",""unit"":""kg""},{""id"":""r"",""label"":""Distance between centers"",""unit"":""m""}]",4
"vis-viva","Vis-Viva Equation","v²=GM(2/r-1/a). Solves for velocity, mass, distance, or semi-major axis.","v² = GM(2/r - 1/a)","Orbital & Space Physics","Atom","[{""id"":""v"",""label"":""Velocity at distance r"",""unit"":""m/s""},{""id"":""M"",""label"":""Central Mass"",""unit"":""kg""},{""id"":""r"",""label"":""Current Distance"",""unit"":""m""},{""id"":""a"",""label"":""Semi-major Axis"",""unit"":""m""}]",4
"roche-limit","Roche Limit","d=R(2ρM/ρm)^(1/3). Solves for Roche limit, primary radius, or density ratio.","d = R(2ρ_M/ρ_m)^(1/3)","Orbital & Space Physics","Atom","[{""id"":""d"",""label"":""Roche Limit"",""unit"":""m""},{""id"":""R"",""label"":""Primary Body Radius"",""unit"":""m""},{""id"":""rhoM"",""label"":""Primary Density (ρ_M)"",""unit"":""kg/m³""},{""id"":""rhom"",""label"":""Satellite Density (ρ_m)"",""unit"":""kg/m³""}]",4
"tidal-force","Tidal Force","ΔF≈2GMmR/r³. Solves for tidal force, primary mass, satellite mass, radius, or distance.","ΔF = 2GMmR/r³","Orbital & Space Physics","Atom","[{""id"":""dF"",""label"":""Tidal Force"",""unit"":""N""},{""id"":""M"",""label"":""Primary Mass"",""unit"":""kg""},{""id"":""m"",""label"":""Satellite Mass"",""unit"":""kg""},{""id"":""R"",""label"":""Satellite Radius"",""unit"":""m""},{""id"":""r"",""label"":""Distance (center to center)"",""unit"":""m""}]",5
"midpoint","Midpoint Formula (2D)","M=((x₁+x₂)/2, (y₁+y₂)/2). Solves for midpoint or any coordinate.","M = ((x₁+x₂)/2, (y₁+y₂)/2)","Algebra & Pre-Calculus","Calculator","[{""id"":""mx"",""label"":""Midpoint X"",""unit"":""""},{""id"":""my"",""label"":""Midpoint Y"",""unit"":""""},{""id"":""x1"",""label"":""Point 1 X (x₁)"",""unit"":""""},{""id"":""y1"",""label"":""Point 1 Y (y₁)"",""unit"":""""},{""id"":""x2"",""label"":""Point 2 X (x₂)"",""unit"":""""},{""id"":""y2"",""label"":""Point 2 Y (y₂)"",""unit"":""""}]",6
"slope-line","Slope of a Line","m=(y₂-y₁)/(x₂-x₁). Solves for slope or any coordinate.","m = (y₂ − y₁) / (x₂ − x₁)","Algebra & Pre-Calculus","Calculator","[{""id"":""m"",""label"":""Slope (m)"",""unit"":""""},{""id"":""x1"",""label"":""x₁"",""unit"":""""},{""id"":""y1"",""label"":""y₁"",""unit"":""""},{""id"":""x2"",""label"":""x₂"",""unit"":""""},{""id"":""y2"",""label"":""y₂"",""unit"":""""}]",5
"arithmetic-sequence","Arithmetic Sequence & Series","aₙ=a₁+(n-1)d, Sₙ=n(a₁+aₙ)/2. Solves for any term, difference, sum, or n.","aₙ = a₁ + (n−1)d,  Sₙ = n(a₁+aₙ)/2","Algebra & Pre-Calculus","Calculator","[{""id"":""a1"",""label"":""First Term (a₁)"",""unit"":""""},{""id"":""d"",""label"":""Common Difference (d)"",""unit"":""""},{""id"":""n"",""label"":""Term Number (n)"",""unit"":""""},{""id"":""an"",""label"":""nth Term (aₙ)"",""unit"":""""}]",4
"geometric-sequence","Geometric Sequence & Series","aₙ=a₁r^(n-1), Sₙ=a₁(1-rⁿ)/(1-r). Solves for any term, ratio, sum, or n.","aₙ = a₁r^(n−1),  Sₙ = a₁(1−rⁿ)/(1−r)","Algebra & Pre-Calculus","Calculator","[{""id"":""a1"",""label"":""First Term (a₁)"",""unit"":""""},{""id"":""r"",""label"":""Common Ratio (r)"",""unit"":""""},{""id"":""n"",""label"":""Term Number (n)"",""unit"":""""},{""id"":""an"",""label"":""nth Term (aₙ)"",""unit"":""""}]",4
"simple-interest","Simple Interest","A=P(1+rt). Solves for amount, principal, rate, or time.","A = P(1 + rt)","Algebra & Pre-Calculus","Calculator","[{""id"":""A"",""label"":""Final Amount"",""unit"":""$""},{""id"":""P"",""label"":""Principal"",""unit"":""$""},{""id"":""r"",""label"":""Annual Rate (decimal)"",""unit"":""""},{""id"":""t"",""label"":""Time (years)"",""unit"":""years""}]",4
"continuous-compound","Continuously Compounded Interest","A=Pe^(rt). Solves for amount, principal, rate, or time.","A = Pe^(rt)","Algebra & Pre-Calculus","Calculator","[{""id"":""A"",""label"":""Final Amount"",""unit"":""$""},{""id"":""P"",""label"":""Principal"",""unit"":""$""},{""id"":""r"",""label"":""Annual Rate (decimal)"",""unit"":""""},{""id"":""t"",""label"":""Time (years)"",""unit"":""years""}]",4
"matrix-2x2","Matrix 2×2 (Det & Inverse)","Computes determinant, trace, and inverse of a 2×2 matrix from all four elements.","det(A) = ad − bc","Algebra & Pre-Calculus","Calculator","[{""id"":""a"",""label"":""Element a (top-left)"",""unit"":""""},{""id"":""b"",""label"":""Element b (top-right)"",""unit"":""""},{""id"":""c"",""label"":""Element c (bottom-left)"",""unit"":""""},{""id"":""d"",""label"":""Element d (bottom-right)"",""unit"":""""}]",4
"vector-ops","Vector Operations (2D/3D)","Dot product, cross product, magnitude, and angle between vectors.","A·B = a₁b₁+a₂b₂+a₃b₃","Algebra & Pre-Calculus","Calculator","[{""id"":""ax"",""label"":""Vector A x"",""unit"":""""},{""id"":""ay"",""label"":""Vector A y"",""unit"":""""},{""id"":""bx"",""label"":""Vector B x"",""unit"":""""},{""id"":""by"",""label"":""Vector B y"",""unit"":""""}]",4
"exponential-growth","Exponential Growth/Decay","N=N₀e^(kt). Solves for final amount, initial, rate, or time.","N = N₀ × e^(kt)","Algebra & Pre-Calculus","Calculator","[{""id"":""N"",""label"":""Final Amount (N)"",""unit"":""""},{""id"":""N0"",""label"":""Initial Amount (N₀)"",""unit"":""""},{""id"":""k"",""label"":""Growth Rate (k)"",""unit"":""""},{""id"":""t"",""label"":""Time"",""unit"":""""}]",4
"complex-numbers","Complex Number Operations","Computes magnitude, angle (phase), conjugate, and polar form of a complex number.","|z| = √(a² + b²),  θ = atan2(b, a)","Algebra & Pre-Calculus","Calculator","[{""id"":""a"",""label"":""Real part (a)"",""unit"":""""},{""id"":""b"",""label"":""Imaginary part (b)"",""unit"":""""}]",2
"circle-sector","Circle Sector & Arc","A=½r²θ, L=rθ. Solves for sector area, arc length, radius, or angle.","A = ½r²θ,  L = rθ (θ in radians)","Geometry & Trigonometry","Calculator","[{""id"":""A"",""label"":""Sector Area"",""unit"":""m²""},{""id"":""L"",""label"":""Arc Length"",""unit"":""m""},{""id"":""r"",""label"":""Radius"",""unit"":""m""},{""id"":""theta"",""label"":""Angle"",""unit"":""°""}]",4
"cone","Cone Volume & Surface","V=πr²h/3, A=πr(r+√(r²+h²)). Solves for volume, surface, radius, or height.","V = πr²h/3","Geometry & Trigonometry","Calculator","[{""id"":""V"",""label"":""Volume"",""unit"":""m³""},{""id"":""r"",""label"":""Base Radius"",""unit"":""m""},{""id"":""h"",""label"":""Height"",""unit"":""m""}]",3
"law-of-sines","Law of Sines","a/sinA = b/sinB = c/sinC. Solves for any side or angle in any triangle.","a/sin(A) = b/sin(B) = c/sin(C)","Geometry & Trigonometry","Calculator","[{""id"":""a"",""label"":""Side a"",""unit"":""""},{""id"":""A"",""label"":""Angle A (opposite a)"",""unit"":""°""},{""id"":""b"",""label"":""Side b"",""unit"":""""},{""id"":""B"",""label"":""Angle B (opposite b)"",""unit"":""°""}]",4
"double-angle","Double Angle Formulas","sin(2θ)=2sinθcosθ, cos(2θ)=cos²θ−sin²θ. Computes all double angle values.","sin(2θ) = 2sinθcosθ","Geometry & Trigonometry","Calculator","[{""id"":""theta"",""label"":""Angle θ"",""unit"":""°""}]",1
"point-line-distance","Point to Line Distance","d=|Ax₀+By₀+C|/√(A²+B²). Distance from point (x₀,y₀) to line Ax+By+C=0.","d = |Ax₀ + By₀ + C| / √(A² + B²)","Geometry & Trigonometry","Calculator","[{""id"":""A"",""label"":""Coefficient A"",""unit"":""""},{""id"":""B"",""label"":""Coefficient B"",""unit"":""""},{""id"":""C"",""label"":""Coefficient C"",""unit"":""""},{""id"":""x0"",""label"":""Point x₀"",""unit"":""""},{""id"":""y0"",""label"":""Point y₀"",""unit"":""""}]",5
"derivative-rules","Derivative Evaluator (Power Rule)","Computes derivative of axⁿ and evaluates at a point. Also shows slope of tangent.","d/dx[axⁿ] = anxⁿ⁻¹","Calculus Tools","Calculator","[{""id"":""a"",""label"":""Coefficient (a)"",""unit"":""""},{""id"":""n"",""label"":""Power (n)"",""unit"":""""},{""id"":""x"",""label"":""Evaluate at x"",""unit"":""""}]",3
"riemann-sum","Riemann Sum Estimator","Estimates ∫ₐᵇ x² dx using Left, Right, and Midpoint Riemann sums with n rectangles.","∫ₐᵇ f(x)dx ≈ Σf(xᵢ*)Δx","Calculus Tools","Calculator","[{""id"":""a"",""label"":""Lower bound (a)"",""unit"":""""},{""id"":""b"",""label"":""Upper bound (b)"",""unit"":""""},{""id"":""n"",""label"":""Number of rectangles"",""unit"":""""}]",3
"taylor-series","Taylor Series Approximation","Approximates eˣ, sin(x), or cos(x) using Taylor series up to N terms.","f(x) ≈ Σ f⁽ⁿ⁾(a)/n! × (x−a)ⁿ","Calculus Tools","Calculator","[{""id"":""func"",""label"":""Function (0=eˣ, 1=sin, 2=cos)"",""unit"":""""},{""id"":""x"",""label"":""Evaluate at x"",""unit"":""""},{""id"":""N"",""label"":""Number of terms"",""unit"":""""}]",3
"newton-method","Newton-Raphson Method","Finds root of x²−c=0 using Newton-Raphson iteration. Shows convergence step by step.","xₙ₊₁ = xₙ − f(xₙ)/f'(xₙ)","Calculus Tools","Calculator","[{""id"":""c"",""label"":""Find √c (solve x²−c=0)"",""unit"":""""},{""id"":""x0"",""label"":""Initial guess (x₀)"",""unit"":""""},{""id"":""iters"",""label"":""Iterations"",""unit"":""""}]",3
"z-score","Z-Score","z=(x−μ)/σ. Solves for z-score, value, mean, or standard deviation.","z = (x − μ) / σ","Probability & Statistics","Calculator","[{""id"":""z"",""label"":""Z-Score"",""unit"":""""},{""id"":""x"",""label"":""Value (x)"",""unit"":""""},{""id"":""mu"",""label"":""Mean (μ)"",""unit"":""""},{""id"":""sigma"",""label"":""Std Dev (σ)"",""unit"":""""}]",4
"binomial-prob","Binomial Probability","P(X=k) = C(n,k)p^k(1-p)^(n-k). Computes probability of k successes.","P(X=k) = C(n,k) × p^k × (1−p)^(n−k)","Probability & Statistics","Calculator","[{""id"":""n"",""label"":""Trials (n)"",""unit"":""""},{""id"":""k"",""label"":""Successes (k)"",""unit"":""""},{""id"":""p"",""label"":""Probability of success (p)"",""unit"":""""}]",3
"bayes-theorem","Bayes' Theorem","P(A|B)=P(B|A)P(A)/P(B). Solves for any conditional probability.","P(A|B) = P(B|A) × P(A) / P(B)","Probability & Statistics","Calculator","[{""id"":""pAgB"",""label"":""P(A|B)"",""unit"":""""},{""id"":""pBgA"",""label"":""P(B|A)"",""unit"":""""},{""id"":""pA"",""label"":""P(A)"",""unit"":""""},{""id"":""pB"",""label"":""P(B)"",""unit"":""""}]",4
"confidence-interval","Confidence Interval (Z)","CI = x̄ ± z*(σ/√n). Computes confidence interval for population mean.","CI = x̄ ± z*(σ/√n)","Probability & Statistics","Calculator","[{""id"":""xbar"",""label"":""Sample Mean (x̄)"",""unit"":""""},{""id"":""sigma"",""label"":""Population Std Dev (σ)"",""unit"":""""},{""id"":""n"",""label"":""Sample Size (n)"",""unit"":""""},{""id"":""z"",""label"":""Z critical value (e.g. 1.96)"",""unit"":""""}]",4
"poisson","Poisson Distribution","P(X=k) = (λ^k × e^(−λ))/k!. Computes Poisson probability.","P(X=k) = λ^k × e^(−λ) / k!","Probability & Statistics","Calculator","[{""id"":""lambda"",""label"":""Expected rate (λ)"",""unit"":""""},{""id"":""k"",""label"":""Number of events (k)"",""unit"":""""}]",2
"kinematics-v","Kinematics: Velocity-Time","v=v₀+at. Solves for final velocity, initial velocity, acceleration, or time.","v = v₀ + at","Kinematics & Dynamics","Cog","[{""id"":""v"",""label"":""Final Velocity"",""unit"":""m/s""},{""id"":""v0"",""label"":""Initial Velocity"",""unit"":""m/s""},{""id"":""a"",""label"":""Acceleration"",""unit"":""m/s²""},{""id"":""t"",""label"":""Time"",""unit"":""s""}]",4
"kinematics-x","Kinematics: Position-Time","x=x₀+v₀t+½at². Solves for position, initial velocity, acceleration, or time.","x = x₀ + v₀t + ½at²","Kinematics & Dynamics","Cog","[{""id"":""x"",""label"":""Final Position"",""unit"":""m""},{""id"":""x0"",""label"":""Initial Position"",""unit"":""m""},{""id"":""v0"",""label"":""Initial Velocity"",""unit"":""m/s""},{""id"":""a"",""label"":""Acceleration"",""unit"":""m/s²""},{""id"":""t"",""label"":""Time"",""unit"":""s""}]",5
"kinematics-v2","Kinematics: Velocity-Position","v²=v₀²+2aΔx. Solves for velocity, initial velocity, acceleration, or displacement.","v² = v₀² + 2aΔx","Kinematics & Dynamics","Cog","[{""id"":""v"",""label"":""Final Velocity"",""unit"":""m/s""},{""id"":""v0"",""label"":""Initial Velocity"",""unit"":""m/s""},{""id"":""a"",""label"":""Acceleration"",""unit"":""m/s²""},{""id"":""dx"",""label"":""Displacement (Δx)"",""unit"":""m""}]",4
"weight","Weight / Gravitational Force","W=mg. Solves for weight, mass, or gravity.","W = mg","Kinematics & Dynamics","Cog","[{""id"":""W"",""label"":""Weight"",""unit"":""N""},{""id"":""m"",""label"":""Mass"",""unit"":""kg""},{""id"":""g"",""label"":""Gravity"",""unit"":""m/s²""}]",3
"friction","Friction Forces","Static: fs≤μsN, Kinetic: fk=μkN. Computes both friction forces.","f = μN","Kinematics & Dynamics","Cog","[{""id"":""mu_s"",""label"":""Static Friction Coeff (μs)"",""unit"":""""},{""id"":""mu_k"",""label"":""Kinetic Friction Coeff (μk)"",""unit"":""""},{""id"":""N"",""label"":""Normal Force"",""unit"":""N""}]",3
"hookes-law","Hooke's Law (Spring Force)","F=kx. Solves for spring force, spring constant, or displacement.","F = kx","Kinematics & Dynamics","Cog","[{""id"":""F"",""label"":""Spring Force"",""unit"":""N""},{""id"":""k"",""label"":""Spring Constant"",""unit"":""N/m""},{""id"":""x"",""label"":""Displacement"",""unit"":""m""}]",3
"center-of-mass","Center of Mass (2 Particles)","x_cm=(m₁x₁+m₂x₂)/(m₁+m₂). Solves for center of mass or any mass/position.","x_cm = (m₁x₁ + m₂x₂) / (m₁ + m₂)","Kinematics & Dynamics","Cog","[{""id"":""xcm"",""label"":""Center of Mass"",""unit"":""m""},{""id"":""m1"",""label"":""Mass 1"",""unit"":""kg""},{""id"":""x1"",""label"":""Position 1"",""unit"":""m""},{""id"":""m2"",""label"":""Mass 2"",""unit"":""kg""},{""id"":""x2"",""label"":""Position 2"",""unit"":""m""}]",5
"work-done","Work Done by Force","W=Fdcosθ. Solves for work, force, displacement, or angle.","W = Fd cos(θ)","Work, Energy & Power","Cog","[{""id"":""W"",""label"":""Work"",""unit"":""J""},{""id"":""F"",""label"":""Force"",""unit"":""N""},{""id"":""d"",""label"":""Displacement"",""unit"":""m""},{""id"":""theta"",""label"":""Angle (F to d)"",""unit"":""°""}]",4
"kinetic-energy","Kinetic Energy","KE=½mv². Solves for KE, mass, or velocity.","KE = ½mv²","Work, Energy & Power","Cog","[{""id"":""KE"",""label"":""Kinetic Energy"",""unit"":""J""},{""id"":""m"",""label"":""Mass"",""unit"":""kg""},{""id"":""v"",""label"":""Velocity"",""unit"":""m/s""}]",3
"gpe-local","Gravitational PE (Local)","PE=mgh. Solves for potential energy, mass, height, or gravity.","PE = mgh","Work, Energy & Power","Cog","[{""id"":""PE"",""label"":""Potential Energy"",""unit"":""J""},{""id"":""m"",""label"":""Mass"",""unit"":""kg""},{""id"":""g"",""label"":""Gravity"",""unit"":""m/s²""},{""id"":""h"",""label"":""Height"",""unit"":""m""}]",4
"elastic-pe","Elastic PE (Spring)","PE=½kx². Solves for elastic potential energy, spring constant, or displacement.","PE = ½kx²","Work, Energy & Power","Cog","[{""id"":""PE"",""label"":""Elastic PE"",""unit"":""J""},{""id"":""k"",""label"":""Spring Constant"",""unit"":""N/m""},{""id"":""x"",""label"":""Displacement"",""unit"":""m""}]",3
"power-mechanical","Mechanical Power","P=W/t=Fv. Solves for power, work, time, force, or velocity.","P = W/t = Fv","Work, Energy & Power","Cog","[{""id"":""P"",""label"":""Power"",""unit"":""W""},{""id"":""W"",""label"":""Work"",""unit"":""J""},{""id"":""t"",""label"":""Time"",""unit"":""s""}]",3
"rotational-kinematics","Rotational Kinematics","ω=ω₀+αt, θ=ω₀t+½αt². Solves for angular variables.","ω = ω₀ + αt","Work, Energy & Power","Cog","[{""id"":""omega"",""label"":""Final Angular Vel (ω)"",""unit"":""rad/s""},{""id"":""omega0"",""label"":""Initial Angular Vel (ω₀)"",""unit"":""rad/s""},{""id"":""alpha"",""label"":""Angular Accel (α)"",""unit"":""rad/s²""},{""id"":""t"",""label"":""Time"",""unit"":""s""}]",4
"rotational-ke","Rotational Kinetic Energy","KE=½Iω². Solves for rotational KE, moment of inertia, or angular velocity.","KE_rot = ½Iω²","Work, Energy & Power","Cog","[{""id"":""KE"",""label"":""Rotational KE"",""unit"":""J""},{""id"":""I"",""label"":""Moment of Inertia"",""unit"":""kg·m²""},{""id"":""omega"",""label"":""Angular Velocity"",""unit"":""rad/s""}]",3
"mass-spring-period","Mass-Spring System (SHM)","T=2π√(m/k). Solves for period, mass, or spring constant.","T = 2π√(m/k)","Work, Energy & Power","Cog","[{""id"":""T"",""label"":""Period"",""unit"":""s""},{""id"":""m"",""label"":""Mass"",""unit"":""kg""},{""id"":""k"",""label"":""Spring Constant"",""unit"":""N/m""}]",3
"thermal-expansion","Thermal Linear Expansion","ΔL=αL₀ΔT. Solves for expansion, coefficient, original length, or temperature change.","ΔL = αL₀ΔT","Thermodynamics & Waves","Thermometer","[{""id"":""dL"",""label"":""Length Change (ΔL)"",""unit"":""m""},{""id"":""alpha"",""label"":""Expansion Coeff (α)"",""unit"":""1/°C""},{""id"":""L0"",""label"":""Original Length (L₀)"",""unit"":""m""},{""id"":""dT"",""label"":""Temperature Change (ΔT)"",""unit"":""°C""}]",4
"latent-heat","Latent Heat (Phase Change)","Q=mL. Solves for heat, mass, or latent heat of fusion/vaporization.","Q = mL","Thermodynamics & Waves","Thermometer","[{""id"":""Q"",""label"":""Heat Energy"",""unit"":""J""},{""id"":""m"",""label"":""Mass"",""unit"":""kg""},{""id"":""L"",""label"":""Latent Heat (L)"",""unit"":""J/kg""}]",3
"first-law-thermo","First Law of Thermodynamics","ΔU=Q−W. Solves for internal energy change, heat, or work.","ΔU = Q − W","Thermodynamics & Waves","Thermometer","[{""id"":""dU"",""label"":""Internal Energy Change (ΔU)"",""unit"":""J""},{""id"":""Q"",""label"":""Heat Added (Q)"",""unit"":""J""},{""id"":""W"",""label"":""Work Done by System (W)"",""unit"":""J""}]",3
"entropy","Entropy Change","ΔS=Q/T. Solves for entropy change, heat, or temperature.","ΔS = Q / T","Thermodynamics & Waves","Thermometer","[{""id"":""dS"",""label"":""Entropy Change (ΔS)"",""unit"":""J/K""},{""id"":""Q"",""label"":""Heat Transfer (Q)"",""unit"":""J""},{""id"":""T"",""label"":""Temperature (T)"",""unit"":""K""}]",3
"sound-level","Sound Intensity Level (dB)","β=10·log(I/I₀). Solves for decibel level, intensity, or reference intensity.","β = 10 × log₁₀(I/I₀)","Thermodynamics & Waves","Thermometer","[{""id"":""beta"",""label"":""Sound Level (β)"",""unit"":""dB""},{""id"":""I"",""label"":""Sound Intensity (I)"",""unit"":""W/m²""},{""id"":""I0"",""label"":""Reference Intensity (I₀)"",""unit"":""W/m²""}]",3
"beat-frequency","Beat Frequency","f_beat=|f₁−f₂|. Solves for beat frequency or either source frequency.","f_beat = |f₁ − f₂|","Thermodynamics & Waves","Thermometer","[{""id"":""fb"",""label"":""Beat Frequency"",""unit"":""Hz""},{""id"":""f1"",""label"":""Frequency 1 (f₁)"",""unit"":""Hz""},{""id"":""f2"",""label"":""Frequency 2 (f₂)"",""unit"":""Hz""}]",3
"critical-angle","Critical Angle (TIR)","θc=arcsin(n₂/n₁). Computes critical angle for total internal reflection.","θ_c = arcsin(n₂/n₁)","Thermodynamics & Waves","Thermometer","[{""id"":""n1"",""label"":""Denser Medium (n₁)"",""unit"":""""},{""id"":""n2"",""label"":""Less Dense Medium (n₂)"",""unit"":""""}]",2
